Ticker,Report Date,Fiscal Year,Fiscal Period,Adj. Open,Adj. Close,PeriodReturn,Altman Z-Score,Piotroski F-Score,Gross Profit Margin,Operating Margin,Net Profit Margin,Return on Equity,Return on Assets,Free Cash Flow to Net Income,Current Ratio,Debt Ratio,Earnings Per Share (Diluted),Sales Per Share,Equity Per Share,Free Cash Flow Per Share,Return On Invested Capital,Cash Return On Invested Capital,Dividend Payout Ratio,Net Debt / EBITDA,Net Debt / EBIT
VRSK,2011-03-31,2011,Q1,32.69,31.61,0.0566,1.73,,0.60189,0.3813,0.21055,-0.60262,0.05121,2.00257,0.63293,0.6456,0.37226,1.85096,-0.64601,0.78046,0.07192,0.14403,,5.20417,6.06617
VRSK,2011-06-30,2011,Q2,34.5,33.4,0.0045,1.48,,0.59917,0.36805,0.20037,-0.45401,0.04657,0.4122,0.57755,0.72805,0.37551,1.96022,-0.86511,0.1619,0.06145,0.02533,,6.90398,8.03494
VRSK,2011-09-30,2011,Q3,34.05,33.55,0.4659,1.6,5,0.59535,0.38639,0.20873,-0.44682,0.05144,1.73306,0.53708,0.73862,0.41472,2.0713,-0.96759,0.74926,0.08349,0.1447,,6.36788,7.31743
VRSK,2012-12-31,2012,Q4,50.15,49.18,0.2745,1.38,5,0.59018,0.38287,0.23638,0.38459,0.04165,1.30942,0.66722,0.61916,0.57175,2.4931,1.53232,0.77167,0.04795,0.06279,,7.2027,8.58406
VRSK,2013-09-30,2013,Q3,64.96,62.68,0.0116,1.55,7,0.62055,0.40501,0.23412,0.19967,0.03969,0.98638,1.01028,0.53938,0.5602,2.4513,2.87426,0.56608,0.04792,0.04726,,5.63147,6.74866
VRSK,2013-12-31,2013,Q4,65.35,63.41,-0.0877,1.53,7,0.59168,0.37206,0.20931,0.15929,0.03483,0.94291,1.10127,0.50945,0.50793,2.48262,3.26226,0.48997,0.04198,0.03958,,5.81891,7.13445
VRSK,2014-03-31,2014,Q1,60.11,57.85,0.001,1.52,7,0.5858,0.36335,0.28209,0.19275,0.04377,1.70116,1.31721,0.48307,0.67807,2.45322,3.59036,1.17727,0.05429,0.09235,,4.58848,5.67051
VRSK,2014-06-30,2014,Q2,59.58,57.91,0.0145,1.56,5,0.5928,0.37555,0.208,0.13027,0.03293,0.16307,1.15741,0.47675,0.51975,2.54626,4.06559,0.08636,0.03993,0.00651,,4.39225,5.35715
VRSK,2014-09-30,2014,Q3,61.02,58.75,0.0519,1.68,6,0.59686,0.39114,0.22069,0.13639,0.03698,0.65195,1.25708,0.47677,0.58408,2.69975,4.36846,0.38843,0.04387,0.0286,,3.97131,4.7891
VRSK,2014-12-31,2014,Q4,64.92,61.8,0.1147,1.14,7,1.04701,0.99774,0.65217,0.46118,0.0415,0.6885,0.49851,0.61268,0.58252,0.9112,1.28856,0.40914,0.05095,0.03508,,7.45682,9.36039
